😀	emoji grinning face
➚	heavy north east arrow U+279A
➛	drafting point rightwards arrow U+279B
➜	heavy round-tipped rightwards arrow U+279C
➝	triangle-headed rightwards arrow U+279D
➞	heavy triangle-headed rightwards arrow U+279E
➟	dashed triangle-headed rightwards arrow U+279F
➠	heavy dashed triangle-headed rightwards arrow U+27A0
➡	black rightwards arrow U+27A1
➢	three-d top-lighted rightwards arrowhead U+27A2
➣	three-d bottom-lighted rightwards arrowhead U+27A3
➤	black rightwards arrowhead U+27A4
➥	heavy black curved downwards and rightwards arrow U+27A5
➦	heavy black curved upwards and rightwards arrow U+27A6
➧	squat black rightwards arrow U+27A7
➨	heavy concave-pointed black rightwards arrow U+27A8
➩	right-shaded white rightwards arrow U+27A9
➪	left-shaded white rightwards arrow U+27AA
➫	back-tilted shadowed white rightwards arrow U+27AB
➬	front-tilted shadowed white rightwards arrow U+27AC
➭	heavy lower right-shadowed white rightwards arrow U+27AD
➮	heavy upper right-shadowed white rightwards arrow U+27AE
➯	notched lower right-shadowed white rightwards arrow U+27AF
➱	notched upper right-shadowed white rightwards arrow U+27B1
➲	circled heavy white rightwards arrow U+27B2
➳	white-feathered rightwards arrow U+27B3
➴	black-feathered south east arrow U+27B4
➵	black-feathered rightwards arrow U+27B5
➶	black-feathered north east arrow U+27B6
➷	heavy black-feathered south east arrow U+27B7
➸	heavy black-feathered rightwards arrow U+27B8
➹	heavy black-feathered north east arrow U+27B9
➺	teardrop-barbed rightwards arrow U+27BA
➻	heavy teardrop-shanked rightwards arrow U+27BB
➼	wedge-tailed rightwards arrow U+27BC
➽	heavy wedge-tailed rightwards arrow U+27BD
➾	open-outlined rightwards arrow U+27BE
⟀	three dimensional angle U+27C0
⟁	white triangle containing small white triangle U+27C1
⟂	perpendicular U+27C2
⟃	open subset U+27C3
⟄	open superset U+27C4
⟅	left s-shaped bag delimiter U+27C5
⟆	right s-shaped bag delimiter U+27C6
⟇	or with dot inside U+27C7
⟈	reverse solidus preceding subset U+27C8
⟉	superset preceding solidus U+27C9
⟊	vertical bar with horizontal stroke U+27CA
⟋	mathematical rising diagonal U+27CB
⟌	long division U+27CC
⟍	mathematical falling diagonal U+27CD
⟎	squared logical and U+27CE
⟏	squared logical or U+27CF
⟐	white diamond with centred dot U+27D0
⟑	and with dot U+27D1
⟒	element of opening upwards U+27D2
⟓	lower right corner with dot U+27D3
⟔	upper left corner with dot U+27D4
⟕	left outer join U+27D5
⟖	right outer join U+27D6
⟗	full outer join U+27D7
⟘	large up tack U+27D8
⟙	large down tack U+27D9
⟚	left and right double turnstile U+27DA
⟛	left and right tack U+27DB
⟜	left multimap U+27DC
⟝	long right tack U+27DD
⟞	long left tack U+27DE
⟟	up tack with circle above U+27DF
⟠	lozenge divided by horizontal rule U+27E0
⟡	white concave-sided diamond U+27E1
⟢	white concave-sided diamond with leftwards tick U+27E2
⟣	white concave-sided diamond with rightwards tick U+27E3
⟤	white square with leftwards tick U+27E4
⟥	white square with rightwards tick U+27E5
⟦	mathematical left white square bracket U+27E6
⟧	mathematical right white square bracket U+27E7
⟨	mathematical left angle bracket U+27E8
⟩	mathematical right angle bracket U+27E9
⟪	mathematical left double angle bracket U+27EA
⟫	mathematical right double angle bracket U+27EB
⟬	mathematical left white tortoise shell bracket U+27EC
⟭	mathematical right white tortoise shell bracket U+27ED
⟮	mathematical left flattened parenthesis U+27EE
⟯	mathematical right flattened parenthesis U+27EF
⟰	upwards quadruple arrow U+27F0
⟱	downwards quadruple arrow U+27F1
⟲	anticlockwise gapped circle arrow U+27F2
⟳	clockwise gapped circle arrow U+27F3
⟴	right arrow with circled plus U+27F4
⟵	long leftwards arrow U+27F5
⟶	long rightwards arrow U+27F6
⟷	long left right arrow U+27F7
⟸	long leftwards double arrow U+27F8
⟹	long rightwards double arrow U+27F9
⟺	long left right double arrow U+27FA
⟻	long leftwards arrow from bar U+27FB
⟼	long rightwards arrow from bar U+27FC
⟽	long leftwards double arrow from bar U+27FD
⟾	long rightwards double arrow from bar U+27FE
⟿	long rightwards squiggle arrow U+27FF
⠀	braille pattern blank U+2800
⠁	braille pattern dots-1 U+2801
⠂	braille pattern dots-2 U+2802
⠃	braille pattern dots-12 U+2803
⠄	braille pattern dots-3 U+2804
⠅	braille pattern dots-13 U+2805
⠆	braille pattern dots-23 U+2806
⠇	braille pattern dots-123 U+2807
⠈	braille pattern dots-4 U+2808
⠉	braille pattern dots-14 U+2809
⠊	braille pattern dots-24 U+280A
⠋	braille pattern dots-124 U+280B
⠌	braille pattern dots-34 U+280C
⠍	braille pattern dots-134 U+280D
⠎	braille pattern dots-234 U+280E
⠏	braille pattern dots-1234 U+280F
⠐	braille pattern dots-5 U+2810
⠑	braille pattern dots-15 U+2811
⠒	braille pattern dots-25 U+2812
⠓	braille pattern dots-125 U+2813
⠔	braille pattern dots-35 U+2814
⠕	braille pattern dots-135 U+2815
⠖	braille pattern dots-235 U+2816
⠗	braille pattern dots-1235 U+2817
⠘	braille pattern dots-45 U+2818
⠙	braille pattern dots-145 U+2819
⠚	braille pattern dots-245 U+281A
⠛	braille pattern dots-1245 U+281B
⠜	braille pattern dots-345 U+281C
⠝	braille pattern dots-1345 U+281D
⠞	braille pattern dots-2345 U+281E
⠟	braille pattern dots-12345 U+281F
⠠	braille pattern dots-6 U+2820
⠡	braille pattern dots-16 U+2821
⠢	braille pattern dots-26 U+2822
⠣	braille pattern dots-126 U+2823
⠤	braille pattern dots-36 U+2824
⠥	braille pattern dots-136 U+2825
⠦	braille pattern dots-236 U+2826
⠧	braille pattern dots-1236 U+2827
⠨	braille pattern dots-46 U+2828
⠩	braille pattern dots-146 U+2829
⠪	braille pattern dots-246 U+282A
⠫	braille pattern dots-1246 U+282B
⠬	braille pattern dots-346 U+282C
⠭	braille pattern dots-1346 U+282D
⠮	braille pattern dots-2346 U+282E
⠯	braille pattern dots-12346 U+282F
⠰	braille pattern dots-56 U+2830
⠱	braille pattern dots-156 U+2831
⠲	braille pattern dots-256 U+2832
⠳	braille pattern dots-1256 U+2833
⠴	braille pattern dots-356 U+2834
⠵	braille pattern dots-1356 U+2835
⠶	braille pattern dots-2356 U+2836
⠷	braille pattern dots-12356 U+2837
⠸	braille pattern dots-456 U+2838
⠹	braille pattern dots-1456 U+2839
⠺	braille pattern dots-2456 U+283A
⠻	braille pattern dots-12456 U+283B
⠼	braille pattern dots-3456 U+283C
⠽	braille pattern dots-13456 U+283D
⠾	braille pattern dots-23456 U+283E
⠿	braille pattern dots-123456 U+283F
⡀	braille pattern dots-7 U+2840
⡁	braille pattern dots-17 U+2841
⡂	braille pattern dots-27 U+2842
⡃	braille pattern dots-127 U+2843
⡄	braille pattern dots-37 U+2844
⡅	braille pattern dots-137 U+2845
⡆	braille pattern dots-237 U+2846
⡇	braille pattern dots-1237 U+2847
⡈	braille pattern dots-47 U+2848
⡉	braille pattern dots-147 U+2849
⡊	braille pattern dots-247 U+284A
⡋	braille pattern dots-1247 U+284B
⡌	braille pattern dots-347 U+284C
⡍	braille pattern dots-1347 U+284D
⡎	braille pattern dots-2347 U+284E
⡏	braille pattern dots-12347 U+284F
⡐	braille pattern dots-57 U+2850
⡑	braille pattern dots-157 U+2851
⡒	braille pattern dots-257 U+2852
⡓	braille pattern dots-1257 U+2853
⡔	braille pattern dots-357 U+2854
⡕	braille pattern dots-1357 U+2855
⡖	braille pattern dots-2357 U+2856
⡗	braille pattern dots-12357 U+2857
⡘	braille pattern dots-457 U+2858
⡙	braille pattern dots-1457 U+2859
⡚	braille pattern dots-2457 U+285A
⡛	braille pattern dots-12457 U+285B
⡜	braille pattern dots-3457 U+285C
⡝	braille pattern dots-13457 U+285D
⡞	braille pattern dots-23457 U+285E
⡟	braille pattern dots-123457 U+285F
⡠	braille pattern dots-67 U+2860
⡡	braille pattern dots-167 U+2861
⡢	braille pattern dots-267 U+2862
⡣	braille pattern dots-1267 U+2863
⡤	braille pattern dots-367 U+2864
⡥	braille pattern dots-1367 U+2865
⡦	braille pattern dots-2367 U+2866
⡧	braille pattern dots-12367 U+2867
⡨	braille pattern dots-467 U+2868
⡩	braille pattern dots-1467 U+2869
⡪	braille pattern dots-2467 U+286A
⡫	braille pattern dots-12467 U+286B
⡬	braille pattern dots-3467 U+286C
⡭	braille pattern dots-13467 U+286D
⡮	braille pattern dots-23467 U+286E
⡯	braille pattern dots-123467 U+286F
⡰	braille pattern dots-567 U+2870
⡱	braille pattern dots-1567 U+2871
⡲	braille pattern dots-2567 U+2872
⡳	braille pattern dots-12567 U+2873
⡴	braille pattern dots-3567 U+2874
⡵	braille pattern dots-13567 U+2875
⡶	braille pattern dots-23567 U+2876
⡷	braille pattern dots-123567 U+2877
⡸	braille pattern dots-4567 U+2878
⡹	braille pattern dots-14567 U+2879
⡺	braille pattern dots-24567 U+287A
⡻	braille pattern dots-124567 U+287B
⡼	braille pattern dots-34567 U+287C
⡽	braille pattern dots-134567 U+287D
⡾	braille pattern dots-234567 U+287E
⡿	braille pattern dots-1234567 U+287F
⢀	braille pattern dots-8 U+2880
⢁	braille pattern dots-18 U+2881
⢂	braille pattern dots-28 U+2882
⢃	braille pattern dots-128 U+2883
⢄	braille pattern dots-38 U+2884
⢅	braille pattern dots-138 U+2885
⢆	braille pattern dots-238 U+2886
⢇	braille pattern dots-1238 U+2887
⢈	braille pattern dots-48 U+2888
⢉	braille pattern dots-148 U+2889
⢊	braille pattern dots-248 U+288A
⢋	braille pattern dots-1248 U+288B
⢌	braille pattern dots-348 U+288C
⢍	braille pattern dots-1348 U+288D
⢎	braille pattern dots-2348 U+288E
⢏	braille pattern dots-12348 U+288F
⢐	braille pattern dots-58 U+2890
⢑	braille pattern dots-158 U+2891
⢒	braille pattern dots-258 U+2892
⢓	braille pattern dots-1258 U+2893
⢔	braille pattern dots-358 U+2894
⢕	braille pattern dots-1358 U+2895
⢖	braille pattern dots-2358 U+2896
⢗	braille pattern dots-12358 U+2897
⢘	braille pattern dots-458 U+2898
⢙	braille pattern dots-1458 U+2899
⢚	braille pattern dots-2458 U+289A
⢛	braille pattern dots-12458 U+289B
⢜	braille pattern dots-3458 U+289C
⢝	braille pattern dots-13458 U+289D
⢞	braille pattern dots-23458 U+289E
⢟	braille pattern dots-123458 U+289F
⢠	braille pattern dots-68 U+28A0
⢡	braille pattern dots-168 U+28A1
⢢	braille pattern dots-268 U+28A2
⢣	braille pattern dots-1268 U+28A3
⢤	braille pattern dots-368 U+28A4
⢥	braille pattern dots-1368 U+28A5
⢦	braille pattern dots-2368 U+28A6
⢧	braille pattern dots-12368 U+28A7
⢨	braille pattern dots-468 U+28A8
⢩	braille pattern dots-1468 U+28A9
⢪	braille pattern dots-2468 U+28AA
⢫	braille pattern dots-12468 U+28AB
⢬	braille pattern dots-3468 U+28AC
⢭	braille pattern dots-13468 U+28AD
⢮	braille pattern dots-23468 U+28AE
⢯	braille pattern dots-123468 U+28AF
⢰	braille pattern dots-568 U+28B0
⢱	braille pattern dots-1568 U+28B1
⢲	braille pattern dots-2568 U+28B2
⢳	braille pattern dots-12568 U+28B3
⢴	braille pattern dots-3568 U+28B4
⢵	braille pattern dots-13568 U+28B5
⢶	braille pattern dots-23568 U+28B6
⢷	braille pattern dots-123568 U+28B7
⢸	braille pattern dots-4568 U+28B8
⢹	braille pattern dots-14568 U+28B9
⢺	braille pattern dots-24568 U+28BA
⢻	braille pattern dots-124568 U+28BB
⢼	braille pattern dots-34568 U+28BC
⢽	braille pattern dots-134568 U+28BD
⢾	braille pattern dots-234568 U+28BE
⢿	braille pattern dots-1234568 U+28BF
⣀	braille pattern dots-78 U+28C0
⣁	braille pattern dots-178 U+28C1
⣂	braille pattern dots-278 U+28C2
⣃	braille pattern dots-1278 U+28C3
⣄	braille pattern dots-378 U+28C4
⣅	braille pattern dots-1378 U+28C5
⣆	braille pattern dots-2378 U+28C6
⣇	braille pattern dots-12378 U+28C7
⣈	braille pattern dots-478 U+28C8
⣉	braille pattern dots-1478 U+28C9
⣊	braille pattern dots-2478 U+28CA
⣋	braille pattern dots-12478 U+28CB
⣌	braille pattern dots-3478 U+28CC
⣍	braille pattern dots-13478 U+28CD
⣎	braille pattern dots-23478 U+28CE
⣏	braille pattern dots-123478 U+28CF
⣐	braille pattern dots-578 U+28D0
⣑	braille pattern dots-1578 U+28D1
⣒	braille pattern dots-2578 U+28D2
⣓	braille pattern dots-12578 U+28D3
⣔	braille pattern dots-3578 U+28D4
⣕	braille pattern dots-13578 U+28D5
⣖	braille pattern dots-23578 U+28D6
⣗	braille pattern dots-123578 U+28D7
⣘	braille pattern dots-4578 U+28D8
⣙	braille pattern dots-14578 U+28D9
⣚	braille pattern dots-24578 U+28DA
⣛	braille pattern dots-124578 U+28DB
⣜	braille pattern dots-34578 U+28DC
⣝	braille pattern dots-134578 U+28DD
⣞	braille pattern dots-234578 U+28DE
⣟	braille pattern dots-1234578 U+28DF
⣠	braille pattern dots-678 U+28E0
⣡	braille pattern dots-1678 U+28E1
⣢	braille pattern dots-2678 U+28E2
⣣	braille pattern dots-12678 U+28E3
⣤	braille pattern dots-3678 U+28E4
⣥	braille pattern dots-13678 U+28E5
⣦	braille pattern dots-23678 U+28E6
⣧	braille pattern dots-123678 U+28E7
⣨	braille pattern dots-4678 U+28E8
⣩	braille pattern dots-14678 U+28E9
⣪	braille pattern dots-24678 U+28EA
⣫	braille pattern dots-124678 U+28EB
⣬	braille pattern dots-34678 U+28EC
⣭	braille pattern dots-134678 U+28ED
⣮	braille pattern dots-234678 U+28EE
⣯	braille pattern dots-1234678 U+28EF
⣰	braille pattern dots-5678 U+28F0
⣱	braille pattern dots-15678 U+28F1
⣲	braille pattern dots-25678 U+28F2
⣳	braille pattern dots-125678 U+28F3
⣴	braille pattern dots-35678 U+28F4
⣵	braille pattern dots-135678 U+28F5
⣶	braille pattern dots-235678 U+28F6
⣷	braille pattern dots-1235678 U+28F7
⣸	braille pattern dots-45678 U+28F8
⣹	braille pattern dots-145678 U+28F9
⣺	braille pattern dots-245678 U+28FA
⣻	braille pattern dots-1245678 U+28FB
⣼	braille pattern dots-345678 U+28FC
⣽	braille pattern dots-1345678 U+28FD
⣾	braille pattern dots-2345678 U+28FE
⣿	braille pattern dots-12345678 U+28FF
